,Date,PETR4
1509,2017-02-06,14.960000038146973
1510,2017-02-07,14.699999809265137
1511,2017-02-08,15.100000381469727
1512,2017-02-09,15.050000190734863
1513,2017-02-10,15.579999923706055
1514,2017-02-13,15.619999885559082
1515,2017-02-14,15.819999694824219
1516,2017-02-15,15.84000015258789
1517,2017-02-16,15.859999656677246
1518,2017-02-17,15.609999656677246
1519,2017-02-20,15.920000076293945
1520,2017-02-21,16.09000015258789
1521,2017-02-22,15.699999809265137
1522,2017-02-23,15.5600004196167
1523,2017-02-24,15.180000305175781
1524,2017-03-01,15.520000457763672
1525,2017-03-02,15.109999656677246
1526,2017-03-03,15.319999694824219
1527,2017-03-06,15.100000381469727
1528,2017-03-07,15.180000305175781
1529,2017-03-08,14.550000190734863
1530,2017-03-09,14.5
1531,2017-03-10,14.3100004196167
1532,2017-03-13,14.369999885559082
1533,2017-03-14,13.59000015258789
1534,2017-03-15,14.199999809265137
1535,2017-03-16,13.710000038146973
1536,2017-03-17,13.15999984741211
1537,2017-03-20,13.600000381469727
1538,2017-03-21,13.0
1539,2017-03-22,13.65999984741211
1540,2017-03-23,13.569999694824219
1541,2017-03-24,13.479999542236328
1542,2017-03-27,13.770000457763672
1543,2017-03-28,13.949999809265137
1544,2017-03-29,14.449999809265137
1545,2017-03-30,14.449999809265137
1546,2017-03-31,14.489999771118164
1547,2017-04-03,14.670000076293945
1548,2017-04-04,14.850000381469727
1549,2017-04-05,14.569999694824219
1550,2017-04-06,14.529999732971191
1551,2017-04-07,14.699999809265137
1552,2017-04-10,14.9399995803833
1553,2017-04-11,14.680000305175781
1554,2017-04-12,14.649999618530273
1555,2017-04-13,14.079999923706055
1556,2017-04-17,14.279999732971191
1557,2017-04-18,14.100000381469727
1558,2017-04-19,13.600000381469727
1559,2017-04-20,13.880000114440918
1560,2017-04-24,14.029999732971191
1561,2017-04-25,14.34000015258789
1562,2017-04-26,14.0
1563,2017-04-27,13.729999542236328
1564,2017-04-28,13.970000267028809
1565,2017-05-02,13.989999771118164
1566,2017-05-03,14.15999984741211
1567,2017-05-04,13.600000381469727
1568,2017-05-05,14.210000038146973
1569,2017-05-08,14.079999923706055
1570,2017-05-09,14.140000343322754
1571,2017-05-10,14.729999542236328
1572,2017-05-11,14.819999694824219
1573,2017-05-12,15.449999809265137
1574,2017-05-15,15.680000305175781
1575,2017-05-16,15.699999809265137
1576,2017-05-17,15.609999656677246
1577,2017-05-18,13.149999618530273
1578,2017-05-19,13.619999885559082
1579,2017-05-22,13.399999618530273
1580,2017-05-23,13.489999771118164
1581,2017-05-24,14.050000190734863
1582,2017-05-25,13.739999771118164
1583,2017-05-26,13.680000305175781
1584,2017-05-29,13.680000305175781
1585,2017-05-30,13.359999656677246
1586,2017-05-31,12.960000038146973
1587,2017-06-01,12.819999694824219
1588,2017-06-02,13.050000190734863
1589,2017-06-05,13.180000305175781
1590,2017-06-06,13.180000305175781
1591,2017-06-07,12.869999885559082
1592,2017-06-08,12.84000015258789
1593,2017-06-09,12.850000381469727
1594,2017-06-12,12.899999618530273
1595,2017-06-13,12.9399995803833
1596,2017-06-14,12.619999885559082
1597,2017-06-15,12.619999885559082
1598,2017-06-16,12.279999732971191
1599,2017-06-19,12.289999961853027
1600,2017-06-20,11.859999656677246
1601,2017-06-21,11.640000343322754
1602,2017-06-22,12.039999961853027
1603,2017-06-23,11.930000305175781
1604,2017-06-26,12.270000457763672
1605,2017-06-27,12.210000038146973
1606,2017-06-28,12.079999923706055
1607,2017-06-29,12.180000305175781
1608,2017-06-30,12.369999885559082
1609,2017-07-03,12.359999656677246
1610,2017-07-04,12.430000305175781
1611,2017-07-05,12.210000038146973
1612,2017-07-06,12.170000076293945
1613,2017-07-07,11.930000305175781
1614,2017-07-10,11.979999542236328
1615,2017-07-11,12.329999923706055
1616,2017-07-12,12.9399995803833
1617,2017-07-13,12.869999885559082
1618,2017-07-14,13.050000190734863
1619,2017-07-17,12.890000343322754
1620,2017-07-18,12.9399995803833
1621,2017-07-19,13.229999542236328
1622,2017-07-20,13.100000381469727
1623,2017-07-21,12.6899995803833
1624,2017-07-24,12.880000114440918
1625,2017-07-25,13.220000267028809
1626,2017-07-26,13.0600004196167
1627,2017-07-27,13.0
1628,2017-07-28,13.130000114440918
1629,2017-07-31,13.289999961853027
1630,2017-08-01,13.119999885559082
1631,2017-08-02,13.510000228881836
1632,2017-08-03,13.3100004196167
1633,2017-08-04,13.399999618530273
1634,2017-08-07,13.550000190734863
1635,2017-08-08,13.489999771118164
1636,2017-08-09,13.520000457763672
1637,2017-08-10,13.1899995803833
1638,2017-08-11,12.949999809265137
1639,2017-08-14,13.079999923706055
1640,2017-08-15,13.149999618530273
1641,2017-08-16,13.130000114440918
1642,2017-08-17,13.050000190734863
1643,2017-08-18,13.600000381469727
1644,2017-08-21,13.34000015258789
1645,2017-08-22,13.789999961853027
1646,2017-08-23,13.760000228881836
1647,2017-08-24,13.800000190734863
1648,2017-08-25,13.880000114440918
1649,2017-08-28,13.869999885559082
1650,2017-08-29,13.850000381469727
1651,2017-08-30,13.449999809265137
1652,2017-08-31,13.649999618530273
1653,2017-09-01,14.020000457763672
1654,2017-09-04,14.170000076293945
1655,2017-09-05,14.40999984741211
1656,2017-09-06,15.020000457763672
1657,2017-09-07,15.020000457763672
1658,2017-09-08,14.710000038146973
1659,2017-09-11,14.989999771118164
1660,2017-09-12,14.869999885559082
1661,2017-09-13,15.029999732971191
1662,2017-09-14,15.039999961853027
1663,2017-09-15,15.039999961853027
