,Date,Fuel_Price
0,2011-01-03,2.5840849673202615
1,2011-01-04,2.6370037082818296
2,2011-01-05,2.606664968152866
3,2011-01-06,2.6697659574468084
4,2011-01-10,2.614946428571429
5,2011-01-11,2.659224193548387
6,2011-01-12,2.614658682634731
7,2011-01-13,2.513112612612613
8,2011-01-17,2.643444230769231
9,2011-01-18,2.6066388443017656
10,2011-01-19,2.6559814385150813
11,2011-01-20,2.6030639269406395
12,2011-01-24,2.6832459016393444
13,2011-01-25,2.657138373751783
14,2011-01-26,2.5889394856278365
15,2011-01-27,2.550185792349727
16,2011-01-31,2.669192546583851
17,2011-02-01,2.636384920634921
18,2011-02-02,2.5836283783783784
19,2011-02-03,2.681019230769231
20,2011-02-07,2.5972513513513515
21,2011-02-08,2.612205479452055
22,2011-02-09,2.6456688741721854
23,2011-02-10,2.68
24,2011-02-14,2.678204081632653
25,2011-02-15,2.650826010544815
26,2011-02-16,2.625628526645768
27,2011-02-17,2.5613636363636365
28,2011-02-21,2.6583767019667173
29,2011-02-22,2.6767654320987657
30,2011-02-23,2.6001877729257643
31,2011-02-24,2.552206896551724
32,2011-03-01,2.682524797114518
33,2011-03-02,2.599916095890411
34,2011-03-03,2.678116504854369
35,2011-03-07,2.6034746835443037
36,2011-03-08,2.5471129032258064
37,2011-03-09,2.704200887902331
38,2011-03-10,2.713028761061947
39,2011-03-11,2.779
40,2011-03-14,2.693342494714588
41,2011-03-15,2.6853329341317367
42,2011-03-16,2.7063020304568526
43,2011-03-17,2.6018988764044946
44,2011-03-21,2.7198283687943263
45,2011-03-22,2.7844396887159535
46,2011-03-23,2.5947395833333333
47,2011-03-28,2.7178969696969695
48,2011-03-29,2.7228785377358493
49,2011-03-30,2.743720430107527
50,2011-03-31,2.68240350877193
51,2011-04-04,2.86496
52,2011-04-05,2.766270072992701
53,2011-04-06,2.808417338709677
54,2011-04-07,2.772703448275862
55,2011-04-11,2.8159132791327917
56,2011-04-12,2.776967105263158
57,2011-04-13,2.819817191283293
58,2011-04-14,2.8984782608695654
59,2011-04-18,2.828442760942761
60,2011-04-19,2.811357289527721
61,2011-04-20,2.8729981549815498
62,2011-04-21,2.7563373493975907
63,2011-04-25,2.8384727272727277
64,2011-04-26,2.850428758169935
65,2011-04-27,2.9194235033259424
66,2011-04-28,2.9624154929577466
67,2011-05-02,2.88018956043956
68,2011-05-03,2.8865230179028134
69,2011-05-04,2.8803078324225866
70,2011-05-05,3.0032708333333336
71,2011-05-09,2.899264705882353
72,2011-05-10,2.9010935622317597
73,2011-05-11,2.8276776315789474
74,2011-05-12,2.974
75,2011-05-16,2.822862694300518
76,2011-05-17,2.8500588235294115
77,2011-05-18,2.7890646976090014
78,2011-05-19,2.6610666666666662
79,2011-05-23,2.8242307692307693
80,2011-05-24,2.7631626506024096
81,2011-05-25,2.7775925925925926
82,2011-05-26,2.9212439024390244
83,2011-05-30,2.7880812182741113
84,2011-05-31,2.7427287735849055
85,2011-06-01,2.732883847549909
86,2011-06-06,2.739316384180791
87,2011-06-07,2.735583430571762
88,2011-06-08,2.700747747747748
89,2011-06-09,2.776269662921348
90,2011-06-13,2.719033505154639
91,2011-06-14,2.6510732673267325
92,2011-06-15,2.7286397058823533
93,2011-06-16,2.797705882352941
94,2011-06-20,2.69255223880597
95,2011-06-21,2.6845253399258344
96,2011-06-22,2.7569308943089434
97,2011-06-27,2.7110853658536587
98,2011-06-28,2.71761180476731
99,2011-06-29,2.68052802359882
100,2011-07-04,2.716046357615894
101,2011-07-05,2.722750712250712
102,2011-07-06,2.6754142194744976
103,2011-07-07,2.740519163763066
104,2011-07-11,2.7314914675767916
105,2011-07-12,2.686532258064516
106,2011-07-13,2.6600032520325203
107,2011-07-14,2.8355098039215685
108,2011-07-18,2.700632075471698
109,2011-07-19,2.7342217036172696
110,2011-07-20,2.676007797270955
111,2011-07-25,2.660526845637584
112,2011-07-26,2.7357288961038964
113,2011-07-27,2.7378450704225354
114,2011-07-28,2.848170731707317
115,2011-08-01,2.637994350282486
116,2011-08-02,2.7081842105263156
117,2011-08-03,2.7267956043956043
118,2011-08-04,3.0202
119,2011-08-08,2.6792050209205023
120,2011-08-09,2.7430112254443406
121,2011-08-10,2.635852507374631
122,2011-08-11,2.720053333333333
123,2011-08-15,2.659551181102362
124,2011-08-16,2.6901978417266186
125,2011-08-17,2.7510572082379863
126,2011-08-18,2.7454141414141415
127,2011-08-22,2.688751712328767
128,2011-08-23,2.723465601965602
129,2011-08-24,2.743043147208122
130,2011-08-25,2.8983333333333334
131,2011-08-29,2.7407881773399017
132,2011-08-30,2.667001694915254
133,2011-08-31,2.7558128249566725
134,2011-09-01,2.7829414414414413
135,2011-09-05,2.722017543859649
136,2011-09-06,2.704603475513428
137,2011-09-07,2.69
138,2011-09-08,2.754092783505155
139,2011-09-09,2.859666666666667
140,2011-09-12,2.662690909090909
141,2011-09-13,2.701003663003663
142,2011-09-14,2.74510201511335
143,2011-09-15,2.7766502890173412
144,2011-09-19,2.71919696969697
145,2011-09-20,2.7231651254953766
146,2011-09-21,2.746706647398844
147,2011-09-22,2.6574285714285715
148,2011-09-26,2.677121153846154
149,2011-09-27,2.741611235955056
150,2011-09-28,2.735694334650856
151,2011-09-29,2.777231884057971
152,2011-10-03,2.7140093240093237
153,2011-10-04,2.744073529411765
154,2011-10-05,2.756144076840982
155,2011-10-06,2.8681
156,2011-10-10,2.69552
157,2011-10-11,2.743565762004175
158,2011-10-12,2.6608684210526317
159,2011-10-13,2.7728669724770643
160,2011-10-14,2.42828
