DATAS,y_REAL,y_ARIMA_1,y_ARIMA_2,y_VAR_1,y_VAR_2,y_LSTM_1,y_LSTM_2
2021-01-26,4.786903614457832,4.617978777630606,4.624590465713147,4.6403009570590354,4.628514801984579,4.670801,4.638906
2021-01-27,4.627419141914191,4.633419287146184,4.632962353869009,4.655449047790594,4.657514680655529,4.701144,4.6773295
2021-01-28,4.533405405405405,4.639840407179271,4.63293338465068,4.670425803208084,4.651162815689979,4.745069,4.7122393
2021-02-01,4.849375,4.644448641131259,4.645650096230266,4.640620499746611,4.651113604528122,4.742723,4.6945453
2021-02-02,4.778470941883767,4.673378072782016,4.678649360230855,4.675744493696216,4.691742183976043,4.70152,4.672906
2021-02-03,4.837522648083623,4.675263330150647,4.674804596438664,4.695158324780926,4.696230755392896,4.752982,4.729365
2021-02-04,4.703371428571429,4.697980552571974,4.687420021567927,4.699090093086857,4.70973279512274,4.8843184,4.840904
2021-02-08,4.849320158102767,4.741789114947695,4.747887844406623,4.768121767533002,4.761534512711241,4.845981,4.802729
2021-02-09,4.700695364238411,4.764989499945801,4.777185545132832,4.821406185032557,4.805247308056047,4.8553176,4.8130984
2021-02-10,4.937923357664234,4.769860913014203,4.761346673718787,4.8075857177590064,4.783739086576493,4.817202,4.7765207
2021-02-11,4.904341463414634,4.778561552589603,4.770521772317617,4.793320394598823,4.794532769127724,4.878584,4.8373837
2021-02-17,4.916920560747664,4.806627348890561,4.812667157569681,4.832235806283239,4.817636259085815,4.888384,4.854496
2021-02-18,4.970083333333333,4.824258021404028,4.828136597685597,4.850303932592244,4.852200113316561,4.9860625,4.939328
2021-02-19,5.0092,4.8728024793661335,4.866927046890144,4.877935274341457,4.890679755960599,4.9873424,4.943898
2021-02-22,5.256665137614679,4.904863590108345,4.90967026238486,4.971171109771671,4.9456442456629714,5.017403,4.976634
2021-02-23,5.101066079295154,4.959900455687085,4.958219823022405,5.044134447611167,4.995596148413572,5.0980287,5.0706797
2021-02-24,5.190856,5.009132859102601,5.007427768441919,5.087697110757093,5.041489671079218,5.1729226,5.136739
2021-02-25,5.283024096385542,5.065948954190429,5.067667734904298,5.094962050277164,5.108636865343668,5.2552156,5.199744
2021-03-01,5.287316901408451,5.1360005334464365,5.139526143956234,5.2225845629436,5.175027539946971,5.234834,5.193667
2021-03-02,5.33049289099526,5.169469225854853,5.169998918344525,5.2437673752431095,5.210540375300137,5.3183594,5.2662306
2021-03-03,5.353125364431487,5.216263388844,5.209584183561923,5.242206929852345,5.240988843500226,5.374281,5.316141
2021-03-04,5.5148,5.262747294408575,5.268937019223848,5.297202434101088,5.290430326363751,5.381711,5.3381257
2021-03-08,5.362618604651162,5.3143409851762895,5.319165671223067,5.354934062407535,5.345205313013056,5.4426355,5.4012284
2021-03-09,5.491590799031477,5.347762850963884,5.346406724206048,5.363379643156487,5.372524701834945,5.4849057,5.4340177
2021-03-10,5.609785529715762,5.388088341095816,5.389140433906495,5.448698534548124,5.413308022342295,5.53874,5.476186
2021-03-11,5.729121621621621,5.4428719217012205,5.4492259375553775,5.466953292263639,5.471469812432377,5.5413446,5.4884605
2021-03-12,5.332441176470589,5.490105141801212,5.491566646339568,5.510750205731742,5.5206304037105,5.6576715,5.6028905
2021-03-15,5.640833976833977,5.5097951245427605,5.509204813319375,5.531712662333972,5.5234676480063145,5.6649556,5.5932345
2021-03-16,5.576556420233463,5.552104200258453,5.558048090451935,5.59381376285416,5.578027609536,5.6427274,5.5748014
2021-03-17,5.570572602739726,5.567480087311956,5.576574771426424,5.607419354989855,5.586736642659483,5.5604806,5.5151205
2021-03-18,5.684823529411765,5.540631831011435,5.537833746500002,5.563627123529067,5.549052250624646,5.677741,5.6100636
2021-03-19,5.976928571428571,5.57867390612425,5.578254106205782,5.562291638085671,5.571985330576331,5.6668515,5.609365
2021-03-22,5.60193984962406,5.638041413009855,5.646877964377267,5.688214624195704,5.673138436211606,5.758844,5.7138085
2021-03-23,5.5280913838120105,5.663866892614679,5.659196036371894,5.684627098056618,5.677131516749517,5.8312836,5.768795
2021-03-24,5.604220216606498,5.684478780343395,5.682084751546433,5.72921408190104,5.701603145144564,5.8142776,5.7335944
2021-03-25,5.49982,5.6978251769040495,5.710237442796199,5.739581483699503,5.719217712725961,5.636741,5.5845475
2021-03-29,5.588367346938776,5.629111727440168,5.637898803249298,5.63732598337675,5.6242265950434325,5.6129365,5.559914
2021-03-30,5.421856617647059,5.5901713609390296,5.583938158082723,5.573826826384599,5.572543041632697,5.639097,5.577225
2021-03-31,5.355609230769231,5.559102535048633,5.570748079806407,5.5338120525188765,5.539345775277285,5.593627,5.530436
2021-04-01,5.424255555555556,5.513489966204301,5.519089299860866,5.530863479058271,5.509208798749023,5.5629,5.4895697
2021-04-05,5.542341216216216,5.485708057007707,5.478309669995379,5.4458827956816,5.473257494478764,5.471051,5.418177
2021-04-06,5.400140161725068,5.459862010327735,5.458093652774839,5.4587323492485,5.452591132050844,5.486546,5.442829
2021-04-07,5.4892719665271965,5.438135552143647,5.434551178656181,5.464562273003038,5.432116111222043,5.5342193,5.474766
2021-04-08,5.457866666666666,5.450753883557298,5.445586075827999,5.448232230731443,5.446850536365901,5.5511537,5.490826
2021-04-12,5.45624609375,5.464217943067677,5.463402282669111,5.488536224909396,5.474262894046924,5.509772,5.458717
2021-04-13,5.459067961165049,5.456085853440948,5.451970306000099,5.479595765505326,5.466702476107063,5.542408,5.483983
2021-04-14,5.417057591623037,5.461552062858575,5.4563716735655845,5.456954041840074,5.462920950451266,5.532931,5.4738812
