MODELO,RMSE,MAE,corr,Tempo_Processamento
ARIMA_1,0.1222458894892984,0.0912437572259016,0.9906212245375438,804.27
ARIMA_2,0.1221583154470342,0.0911619347491247,0.9906302287236484,996.2
VAR_1,0.1232335162493599,0.0906068984340953,0.9902914063177908,8.5
VAR_2,0.1229746938909613,0.0906674846566528,0.9903883166035656,4.26
LSTM_1,0.16081126670404178,0.12621494073684325,0.9726716029551498,50.25
LSTM_2,0.1316836890786405,0.10380590009128872,0.9727181780577706,61.05
