,RMSE,MAE,corr
ARIMA_1,0.13188781300412047,0.1021190627744375,0.9743201901222069
ARIMA_2,0.13205334756562798,0.10240716216973138,0.9741973433104966
VAR_1,0.1291814336684855,0.09895318104565978,0.9738860510168764
VAR_2,0.12838203008958857,0.09916848788511654,0.9746345032369643
LSTM_1,0.16081126106011723,0.12621493641105386,0.9726716042651525
LSTM_2,0.1316836892234501,0.1038058967332582,0.9727181776895811
