,Date,Fuel_Price
0,2011-01-03,2.584084967320261
1,2011-01-04,2.6370037082818194
2,2011-01-05,2.6066649681528617
3,2011-01-06,2.669765957446809
4,2011-01-10,2.6149464285714275
5,2011-01-11,2.659224193548388
6,2011-01-12,2.614658682634733
7,2011-01-13,2.5131126126126144
8,2011-01-17,2.6434442307692336
9,2011-01-18,2.6066388443017723
10,2011-01-19,2.6559814385150857
11,2011-01-20,2.603063926940641
12,2011-01-24,2.683245901639347
13,2011-01-25,2.6571383737517875
14,2011-01-26,2.588939485627832
15,2011-01-27,2.5501857923497293
16,2011-01-31,2.66919254658385
17,2011-02-01,2.63638492063492
18,2011-02-02,2.5836283783783727
19,2011-02-03,2.68101923076923
20,2011-02-07,2.5972513513513587
21,2011-02-08,2.6122054794520553
22,2011-02-09,2.6456688741721845
23,2011-02-10,2.680000000000004
24,2011-02-14,2.6782040816326576
25,2011-02-15,2.6508260105448134
26,2011-02-16,2.625628526645778
27,2011-02-17,2.561363636363639
28,2011-02-21,2.6583767019667177
29,2011-02-22,2.676765432098758
30,2011-02-23,2.6001877729257643
31,2011-02-24,2.552206896551725
32,2011-03-01,2.6825247971145196
33,2011-03-02,2.5999160958904057
34,2011-03-03,2.6781165048543683
35,2011-03-07,2.6034746835443108
36,2011-03-08,2.5471129032258064
37,2011-03-09,2.7042008879023243
38,2011-03-10,2.7130287610619472
39,2011-03-11,2.779
40,2011-03-14,2.6933424947145848
41,2011-03-15,2.6853329341317322
42,2011-03-16,2.706302030456855
43,2011-03-17,2.601898876404492
44,2011-03-21,2.719828368794313
45,2011-03-22,2.784439688715953
46,2011-03-23,2.5947395833333293
47,2011-03-28,2.717896969696965
48,2011-03-29,2.7228785377358466
49,2011-03-30,2.7437204301075306
50,2011-03-31,2.68240350877193
51,2011-04-04,2.864960000000001
52,2011-04-05,2.7662700729927034
53,2011-04-06,2.8084173387096794
54,2011-04-07,2.772703448275865
55,2011-04-11,2.815913279132789
56,2011-04-12,2.776967105263158
57,2011-04-13,2.8198171912832963
58,2011-04-14,2.898478260869564
59,2011-04-18,2.8284427609427514
60,2011-04-19,2.8113572895277152
61,2011-04-20,2.8729981549815546
62,2011-04-21,2.7563373493975893
63,2011-04-25,2.8384727272727184
64,2011-04-26,2.8504287581699357
65,2011-04-27,2.919423503325941
66,2011-04-28,2.962415492957748
67,2011-05-02,2.8801895604395575
68,2011-05-03,2.886523017902808
69,2011-05-04,2.880307832422587
70,2011-05-05,3.003270833333332
71,2011-05-09,2.8992647058823504
72,2011-05-10,2.9010935622317366
73,2011-05-11,2.8276776315789345
74,2011-05-12,2.974
75,2011-05-16,2.8228626943005204
76,2011-05-17,2.8500588235294093
77,2011-05-18,2.789064697608993
78,2011-05-19,2.6610666666666662
79,2011-05-23,2.8242307692307658
80,2011-05-24,2.7631626506024074
81,2011-05-25,2.777592592592583
82,2011-05-26,2.921243902439024
83,2011-05-30,2.7880812182741073
84,2011-05-31,2.7427287735849144
85,2011-06-01,2.732883847549907
86,2011-06-06,2.739316384180789
87,2011-06-07,2.735583430571768
88,2011-06-08,2.7007477477477475
89,2011-06-09,2.776269662921349
90,2011-06-13,2.7190335051546377
91,2011-06-14,2.6510732673267343
92,2011-06-15,2.728639705882351
93,2011-06-16,2.7977058823529406
94,2011-06-20,2.692552238805979
95,2011-06-21,2.6845253399258353
96,2011-06-22,2.7569308943089434
97,2011-06-27,2.71108536585367
98,2011-06-28,2.7176118047673077
99,2011-06-29,2.680528023598823
100,2011-07-04,2.716046357615896
101,2011-07-05,2.722750712250717
102,2011-07-06,2.6754142194744963
103,2011-07-07,2.740519163763061
104,2011-07-11,2.73149146757681
105,2011-07-12,2.6865322580645117
106,2011-07-13,2.6600032520325114
107,2011-07-14,2.8355098039215703
108,2011-07-18,2.700632075471693
109,2011-07-19,2.7342217036172674
110,2011-07-20,2.6760077972709455
111,2011-07-25,2.660526845637578
112,2011-07-26,2.7357288961038924
113,2011-07-27,2.737845070422538
114,2011-07-28,2.8481707317073184
115,2011-08-01,2.6379943502824883
116,2011-08-02,2.7081842105263148
117,2011-08-03,2.726795604395602
118,2011-08-04,3.0202
119,2011-08-08,2.6792050209205005
120,2011-08-09,2.7430112254443326
121,2011-08-10,2.6358525073746324
122,2011-08-11,2.7200533333333325
123,2011-08-15,2.659551181102364
124,2011-08-16,2.6901978417266177
125,2011-08-17,2.7510572082379863
126,2011-08-18,2.7454141414141358
127,2011-08-22,2.6887517123287656
128,2011-08-23,2.7234656019656027
129,2011-08-24,2.74304314720812
130,2011-08-25,2.8983333333333334
131,2011-08-29,2.7407881773399
132,2011-08-30,2.6670016949152555
133,2011-08-31,2.7558128249566756
134,2011-09-01,2.7829414414414404
135,2011-09-05,2.7220175438596446
136,2011-09-06,2.704603475513433
137,2011-09-07,2.69
138,2011-09-08,2.7540927835051594
139,2011-09-09,2.859666666666667
140,2011-09-12,2.662690909090909
141,2011-09-13,2.70100366300366
142,2011-09-14,2.745102015113353
143,2011-09-15,2.7766502890173412
144,2011-09-19,2.7191969696969704
145,2011-09-20,2.723165125495375
146,2011-09-21,2.746706647398851
147,2011-09-22,2.657428571428571
148,2011-09-26,2.6771211538461532
149,2011-09-27,2.7416112359550584
150,2011-09-28,2.7356943346508524
151,2011-09-29,2.7772318840579713
152,2011-10-03,2.7140093240093237
153,2011-10-04,2.7440735294117573
154,2011-10-05,2.7561440768409766
155,2011-10-06,2.8681
156,2011-10-10,2.6955200000000015
157,2011-10-11,2.7435657620041694
158,2011-10-12,2.6608684210526308
