epoch,loss,mae,msle,val_loss,val_mae,val_msle
0,0.010389130562543869,0.07592549175024033,0.00708797900006175,0.003906782250851393,0.051986437290906906,0.0020036138594150543
1,0.0019176240311935544,0.03274872153997421,0.0012222403893247247,0.01130643766373396,0.08780547231435776,0.005552577320486307
2,0.0013927060645073652,0.027414238080382347,0.0008753635920584202,0.0103165153414011,0.08039014786481857,0.005121924448758364
3,0.001061406685039401,0.0247902013361454,0.000685443461406976,0.007558699231594801,0.06730080395936966,0.0038105312269181013
4,0.001078644534572959,0.024396173655986786,0.0006843703449703753,0.007797732017934322,0.07159845530986786,0.0039055037777870893
5,0.0009466531919315457,0.022909389808773994,0.0006007431074976921,0.005642973352223635,0.06086765602231026,0.002861896064132452
6,0.0009122445480898023,0.02231701649725437,0.0005762842483818531,0.006234466563910246,0.06797006726264954,0.003127514151856303
7,0.0008330732234753668,0.021166250109672546,0.0005290379049256444,0.0022512793075293303,0.035741597414016724,0.0011913023190572858
8,0.0008682999759912491,0.02155466191470623,0.0005400137742981315,0.004517571069300175,0.058114226907491684,0.00228030770085752
9,0.0008265404612757266,0.020793458446860313,0.0005198302096687257,0.002014463534578681,0.034869421273469925,0.0010565583361312747
10,0.0008232856635004282,0.02113785222172737,0.0005140977445989847,0.0012160497717559338,0.027928506955504417,0.0006390808266587555
11,0.0009034961112774909,0.022166740149259567,0.0005776904290542006,0.0015422775177285075,0.029425153508782387,0.0008224509656429291
12,0.0007514497265219688,0.019947733730077744,0.0004740180156659335,0.002176667796447873,0.03778056427836418,0.0011356937466189265
13,0.0007447401294484735,0.020065903663635254,0.00047282507875934243,0.0019510420970618725,0.03554287552833557,0.0010197751689702272
14,0.0007260719430632889,0.019899915903806686,0.00046342264977283776,0.0012192954309284687,0.025931697338819504,0.0006515575805678964
15,0.0006671979208476841,0.018815552815794945,0.000422504119342193,0.002713441615924239,0.04366464912891388,0.0013926824321970344
16,0.0008481364347971976,0.022013476118445396,0.0005420473171398044,0.0024821360129863024,0.040849633514881134,0.0012840396957471967
17,0.000727341859601438,0.019822755828499794,0.0004616340738721192,0.0016992469318211079,0.03240474686026573,0.0008900873363018036
18,0.0006361390114761889,0.01851252280175686,0.00040610411087982357,0.0011950492626056075,0.02596364915370941,0.0006340178078971803
19,0.0006709067965857685,0.01886848174035549,0.00042644955101422966,0.0013130197767168283,0.027890009805560112,0.0006889379001222551
20,0.0006399084231816232,0.018641013652086258,0.000407522136811167,0.0010372711112722754,0.023732425644993782,0.000554058700799942
21,0.0007135902415029705,0.020020687952637672,0.00045270321425050497,0.0009497872088104486,0.023034855723381042,0.0005074284854345024
22,0.0007071240688674152,0.019608531147241592,0.0004441566707100719,0.0009425888420082629,0.022668763995170593,0.0005054486100561917
23,0.000624693522695452,0.018258964642882347,0.0003950382524635643,0.0008609147043898702,0.02184651419520378,0.0004605581925716251
24,0.0006656068144366145,0.018776988610625267,0.0004191473126411438,0.0013212673366069794,0.02786226198077202,0.0006991630070842803
